,Date,Retweets,Replies,Likes,Volume,positive_score,negative_score,neutral_score,positive_percentage,negative_percentage,neutral_percentage,positive_count,negative_count,neutral_count,General_score,Open,Close
2016-05-17,2016-05-17,0.0,0.05,0.1,20,0.2581509037874639,0.22488646167330445,0.5169626340270043,0.2,0.3,0.5,4,6,10,-0.1,203.6000061035156,203.3600006103516
2016-05-18,2016-05-18,0.5416666666666666,0.125,0.7083333333333334,24,0.10835637373384088,0.18125793481400854,0.7103856914521506,0.08333333333333333,0.16666666666666666,0.75,2,4,18,-0.08333333333333333,224.91000366210935,227.41000366210935
2016-05-19,2016-05-19,0.0738255033557047,0.0,0.03355704697986577,149,0.14186922700813154,0.0510888409757074,0.8070419307098092,0.11409395973154363,0.0,0.8859060402684564,17,0,132,0.11409395973154363,225.8000030517578,227.57000732421875
2016-05-20,2016-05-20,0.1111111111111111,0.0,0.16666666666666666,36,0.16571081419371897,0.07029708296371003,0.7639921070593927,0.1111111111111111,0.027777777777777776,0.8611111111111112,4,1,31,0.08333333333333333,227.4600067138672,233.1100006103516
2016-05-23,2016-05-23,0.25925925925925924,0.0,0.5185185185185185,27,0.13618779851606597,0.04315349951179487,0.8206587059906235,0.1111111111111111,0.0,0.8888888888888888,3,0,24,0.1111111111111111,232.1999969482422,225.0
2016-05-24,2016-05-24,0.06666666666666667,0.06666666666666667,0.2,15,0.15338922577599684,0.15865603492905697,0.687954752643903,0.13333333333333333,0.13333333333333333,0.7333333333333333,2,2,11,0.0,224.2100067138672,228.3800048828125
2016-05-25,2016-05-25,0.15384615384615385,0.0,0.38461538461538464,13,0.28352904240958965,0.09809363511605904,0.6183773223310709,0.3076923076923077,0.07692307692307693,0.6153846153846154,4,1,8,0.23076923076923078,227.4600067138672,225.6000061035156
2016-05-26,2016-05-26,0.125,0.0,0.25,8,0.07064829836599522,0.0425302670919336,0.886821448802948,0.0,0.0,1.0,0,0,8,0.0,222.88999938964844,219.0399932861328
2016-05-27,2016-05-27,0.3333333333333333,0.0,0.2777777777777778,18,0.16505827314944732,0.08194404959471686,0.7529976608024703,0.1111111111111111,0.05555555555555555,0.8333333333333334,2,1,15,0.05555555555555555,217.009994506836,219.97000122070312
2016-05-30,2016-05-30,0.44,0.04,0.92,25,0.15236488871276374,0.0317102006450295,0.8159249207377434,0.16,0.0,0.84,4,0,21,0.16,220.0599975585937,218.94000244140625
